"column_name","Not Answered","DESPAIR","JOY","MEH","Chocolate"
"Candy that is clearly just the stuff given out for free at restaurants",0.280894308943089,0.538617886178862,0.0158536585365854,0.164634146341463,"No"
"Gum from baseball cards",0.291056910569106,0.594308943089431,0.0178861788617886,0.0967479674796748,"No"
"Black Jacks",0.389430894308943,0.322357723577236,0.0373983739837398,0.250813008130081,"No"
"Jolly Rancher  bad flavor",0.282113821138211,0.43130081300813,0.0398373983739837,0.246747967479675,"No"
"Bonkers  the candy",0.403252032520325,0.201219512195122,0.0471544715447154,0.348373983739837,"No"
"Maynards",0.416260162601626,0.235365853658537,0.0601626016260163,0.288211382113821,"No"
"Sweetums  a friend to diabetes",0.407317073170732,0.310162601626016,0.0613821138211382,0.221138211382114,"No"
"Anonymous brown globs that come in black and orange wrappers  a k a  Mary Janes",0.298373983739837,0.442682926829268,0.0715447154471545,0.18739837398374,"No"
"Those odd marshmallow circus peanut things",0.299186991869919,0.508943089430894,0.0768292682926829,0.115040650406504,"No"
"Peeps",0.288617886178862,0.441056910569106,0.0971544715447154,0.173170731707317,"No"
"Chiclets",0.289024390243902,0.309349593495935,0.0991869918699187,0.302439024390244,"No"
"Reggie Jackson Bar",0.41219512195122,0.197560975609756,0.103252032520325,0.286991869918699,"Yes"
"Tic Tacs",0.290243902439024,0.30650406504065,0.107317073170732,0.295934959349594,"No"
"Hard Candy",0.282520325203252,0.238211382113821,0.110569105691057,0.36869918699187,"No"
"Chick o Sticks  we donÕt know what that is",0.384552845528455,0.261788617886179,0.121544715447154,0.232113821138211,"No"
"Necco Wafers",0.302439024390244,0.327235772357724,0.14349593495935,0.226829268292683,"No"
"Now n Laters",0.332113821138211,0.226422764227642,0.146747967479675,0.294715447154472,"No"
"Lollipops",0.280894308943089,0.192682926829268,0.147967479674797,0.378455284552846,"No"
"Fuzzy Peaches",0.334552845528455,0.27479674796748,0.163414634146341,0.227235772357724,"No"
"Good N  Plenty",0.298373983739837,0.301626016260163,0.165853658536585,0.234146341463415,"No"
"Goo Goo Clusters",0.357317073170732,0.188617886178862,0.166260162601626,0.28780487804878,"Yes"
"Dots",0.296341463414634,0.269918699186992,0.166666666666667,0.267073170731707,"No"
"LaffyTaffy",0.299186991869919,0.221544715447154,0.182926829268293,0.296341463414634,"No"
"Bottle Caps",0.310975609756098,0.227642276422764,0.189024390243902,0.272357723577236,"No"
"Coffee Crisp",0.346747967479675,0.219918699186992,0.192682926829268,0.240650406504065,"Yes"
"Candy Corn",0.275609756097561,0.302032520325203,0.194308943089431,0.228048780487805,"No"
"Kinder Happy Hippo",0.384146341463415,0.231707317073171,0.204471544715447,0.179674796747967,"Yes"
"Mike and Ike",0.296341463414634,0.223577235772358,0.217073170731707,0.263008130081301,"No"
"Smarties  Commonwealth",0.366260162601626,0.16869918699187,0.219105691056911,0.245934959349594,"No"
"Licorice  yes black",0.278455284552846,0.366666666666667,0.220731707317073,0.134146341463415,"No"
"Pixy Stix",0.29349593495935,0.221951219512195,0.220731707317073,0.263821138211382,"No"
"Licorice  not black",0.278861788617886,0.207317073170732,0.226422764227642,0.28739837398374,"No"
"Take 5",0.372764227642276,0.14349593495935,0.234552845528455,0.249186991869919,"Yes"
"Mint Kisses",0.315447154471545,0.171138211382114,0.251626016260163,0.261788617886179,"No"
"LemonHeads",0.296747967479675,0.150406504065041,0.272357723577236,0.280487804878049,"No"
"Smarties  American",0.294715447154472,0.172764227642276,0.296341463414634,0.236178861788618,"No"
"Jolly Ranchers  good flavor",0.282520325203252,0.154471544715447,0.303658536585366,0.259349593495935,"No"
"Gummy Bears straight up",0.283333333333333,0.17520325203252,0.304065040650407,0.23739837398374,"No"
"Swedish Fish",0.290650406504065,0.182520325203252,0.30650406504065,0.220325203252033,"No"
"Nerds",0.29390243902439,0.145934959349593,0.31260162601626,0.247560975609756,"No"
"Sourpatch Kids  i e  abominations of nature",0.3,0.207723577235772,0.313008130081301,0.179268292682927,"No"
"Sweet Tarts",0.28780487804878,0.145934959349593,0.318292682926829,0.247967479674797,"No"
"Cadbury Creme Eggs",0.277642276422764,0.160569105691057,0.333333333333333,0.228455284552846,"Yes"
"Skittles",0.286991869918699,0.130487804878049,0.336991869918699,0.245528455284553,"No"
"Hershey s Kisses",0.275609756097561,0.0902439024390244,0.339024390243902,0.295121951219512,"Yes"
"Whatchamacallit Bars",0.334552845528455,0.117073170731707,0.341463414634146,0.206910569105691,"Yes"
"Starburst",0.281707317073171,0.121544715447154,0.346747967479675,0.25,"No"
"Mr  Goodbar",0.300813008130081,0.0894308943089431,0.348373983739837,0.261382113821138,"Yes"
"100 Grand Bar",0.303658536585366,0.0345528455284553,0.354878048780488,0.306910569105691,"Yes"
"Milk Duds",0.281707317073171,0.101626016260163,0.356910569105691,0.259756097560976,"Yes"
"HersheyÕs Milk Chocolate",0.273170731707317,0.0914634146341463,0.364227642276423,0.271138211382114,"Yes"
"Mint Juleps",0.329674796747967,0.167886178861789,0.367479674796748,0.134959349593496,"No"
"Caramellos",0.305691056910569,0.066260162601626,0.38739837398374,0.240650406504065,"Yes"
"Red M M s",0.296341463414634,0.0504065040650407,0.406910569105691,0.246341463414634,"Yes"
"Blue M M s",0.295528455284553,0.048780487804878,0.413821138211382,0.241869918699187,"Yes"
"Junior Mints",0.283739837398374,0.1,0.414634146341463,0.201626016260163,"Yes"
"Mars",0.294715447154472,0.0495934959349593,0.417073170731707,0.238617886178862,"Yes"
"Three Musketeers",0.28780487804878,0.0715447154471545,0.430081300813008,0.210569105691057,"Yes"
"Heath Bar",0.289430894308943,0.0865853658536585,0.434552845528455,0.189430894308943,"Yes"
"Hershey s Dark Chocolate",0.273577235772358,0.0711382113821138,0.449186991869919,0.20609756097561,"Yes"
"York Peppermint Patties",0.286585365853659,0.0943089430894309,0.449186991869919,0.169918699186992,"Yes"
"Regular M Ms",0.274390243902439,0.0304878048780488,0.45609756097561,0.239024390243902,"Yes"
"Reese s Pieces",0.280894308943089,0.0682926829268293,0.461788617886179,0.189024390243902,"Yes"
"Rolos",0.290243902439024,0.056910569105691,0.467886178861789,0.184959349593496,"Yes"
"Dove Bars",0.285365853658537,0.0439024390243902,0.478048780487805,0.192682926829268,"Yes"
"Butterfinger",0.277235772357724,0.0573170731707317,0.478455284552846,0.186991869918699,"Yes"
"Milky Way",0.279674796747967,0.0414634146341463,0.481707317073171,0.197154471544715,"Yes"
"Nestle Crunch",0.283739837398374,0.0414634146341463,0.482926829268293,0.191869918699187,"Yes"
"Lindt Truffle",0.291869918699187,0.0398373983739837,0.519105691056911,0.149186991869919,"Yes"
"Peanut M MÕs",0.272764227642276,0.0491869918699187,0.52479674796748,0.153252032520325,"Yes"
"Tolberone something or other",0.286991869918699,0.0341463414634146,0.536585365853659,0.142276422764228,"Yes"
"Snickers",0.280487804878049,0.0321138211382114,0.56869918699187,0.11869918699187,"Yes"
"Twix",0.280487804878049,0.0288617886178862,0.574390243902439,0.116260162601626,"Yes"
"Kit Kat",0.273983739837398,0.0211382113821138,0.588211382113821,0.116666666666667,"Yes"
"ReeseÕs Peanut Butter Cups",0.276016260162602,0.0386178861788618,0.608943089430894,0.0764227642276423,"Yes"
"Any full sized candy bar",0.273170731707317,0.00691056910569106,0.633739837398374,0.0861788617886179,"Yes"
